,URL,Nom,Genre,Tete,Coeur,Fond
1372,https://www.olfastory.com/parfum/lacoste-original,lacoste-original,1,"28, 36, 17","43, 35, 199","14, 4, 160"
1373,https://www.olfastory.com/parfum/monsieur-de-givenchy,monsieur-de-givenchy,1,"19, 36","28, 208",105
1374,https://www.olfastory.com/parfum/joy,joy,0,"83, 67","7, 43, 25, 44","9, 53, 201, 55"
1375,https://www.olfastory.com/parfum/guerlain-homme-0,guerlain-homme-0,1,"19, 224, 110","185, 6","14, 23, 177"
1376,https://www.olfastory.com/parfum/her-labsolu,her-labsolu,0,19,"45, 43","32, 9, 53, 302, 257"
1377,https://www.olfastory.com/parfum/chergui,chergui,2,110,7,"53, 55, 3, 62, 131, 15, 309, 299"
1378,https://www.olfastory.com/parfum/boucheron-pour-homme,boucheron-pour-homme,1,"19, 20, 17","7, 43, 199",14
1379,https://www.olfastory.com/parfum/versace-lhomme,versace-lhomme,1,"60, 36, 17","114, 165, 199",23
1380,https://www.olfastory.com/parfum/live,live,1,"28, 272, 224","173, 60, 49","117, 92, 75"
1381,https://www.olfastory.com/parfum/eau-suave,eau-suave,2,"28, 166, 19, 203","7, 67, 56","2, 9, 302"
1382,https://www.olfastory.com/parfum/pleats-please,pleats-please,0,19,"7, 67, 43, 66, 12, 11, 24","105, 32, 2, 9, 205, 23"
1383,https://www.olfastory.com/parfum/gris-dior,gris-dior,2,"7, 19","7, 43","105, 32, 3"
1384,https://www.olfastory.com/parfum/mon-precieux-nectar,mon-precieux-nectar,2,"20, 61","38, 43","53, 92, 2, 9, 62"
1385,https://www.olfastory.com/parfum/leau-kenzo-pour-homme,leau-kenzo-pour-homme,1,"183, 224, 173","49, 86, 110","9, 23"
1386,https://www.olfastory.com/parfum/magie-noire,magie-noire,0,"19, 245","7, 43, 47, 125","2, 53, 62, 308, 312"
1387,https://www.olfastory.com/parfum/jean-louis-scherrer,jean-louis-scherrer,0,"83, 60, 125","7, 43, 169",201
1388,https://www.olfastory.com/parfum/jazz,jazz,1,"170, 28, 203, 107","35, 245, 148","105, 14, 32, 162"
1389,https://www.olfastory.com/parfum/voyage-parfum,voyage-parfum,2,"27, 36, 6","7, 60","117, 9"
1390,https://www.olfastory.com/parfum/promesse,promesse,0,"19, 16","43, 141, 207","137, 23, 53, 9"
1391,https://www.olfastory.com/parfum/xeryus,xeryus,1,"28, 304, 36","35, 245","62, 15, 133"
1392,https://www.olfastory.com/parfum/hot-couture,hot-couture,0,"173, 56","14, 7","9, 79, 137"
1393,https://www.olfastory.com/parfum/eau-noire,eau-noire,1,"30, 215","28, 23, 126","2, 29"
1394,https://www.olfastory.com/parfum/leau-dissey-pour-homme,leau-dissey-pour-homme,1,"16, 183, 90, 124, 203","51, 35, 49","14, 117, 9, 23"
1395,https://www.olfastory.com/parfum/chamade-pour-homme,chamade-pour-homme,1,"19, 173","169, 29, 51","14, 63, 85"
1396,https://www.olfastory.com/parfum/blanc-de-courreges,blanc-de-courreges,0,211,"7, 38, 67, 55, 11","32, 2, 9, 3, 188"
1397,https://www.olfastory.com/parfum/arsene-lupin-voyou,arsene-lupin-voyou,1,"19, 170, 203, 36","27, 7, 30, 75","31, 32, 133, 205, 53"
1398,https://www.olfastory.com/parfum/nuit-damour,nuit-damour,2,"11, 211","7, 126","53, 9, 55"
1399,https://www.olfastory.com/parfum/armani-mania-femme,armani-mania-femme,0,"211, 12, 16","116, 82, 24, 55","2, 23, 9, 3, 53"
1400,https://www.olfastory.com/parfum/eau-de-cologne-0,eau-de-cologne-0,2,"19, 16",13,37
1401,https://www.olfastory.com/parfum/higher,higher,1,"166, 19, 36, 17",66,"9, 89"
1402,https://www.olfastory.com/parfum/lady-caron,lady-caron,0,"38, 82, 43","7, 56, 67, 44","105, 53"
1403,https://www.olfastory.com/parfum/feve-delicieuse,feve-delicieuse,2,"28, 110","43, 118, 8","31, 79, 23, 63, 4, 129, 53, 2, 161, 130"
1404,https://www.olfastory.com/parfum/rose-barbare,rose-barbare,2,"83, 7",7,"67, 32, 18"
1405,https://www.olfastory.com/parfum/bois-des-iles,bois-des-iles,0,"83, 43","7, 85, 25","14, 53, 2, 4"
1406,https://www.olfastory.com/parfum/rose-nacree-du-desert,rose-nacree-du-desert,2,"78, 7, 32","27, 220, 23, 76","254, 31"
1407,https://www.olfastory.com/parfum/ndeg18,ndeg18,0,"84, 37","168, 55",18
1408,https://www.olfastory.com/parfum/patchouli-imperial,patchouli-imperial,2,"16, 19, 203","32, 7","53, 3, 23"
1409,https://www.olfastory.com/parfum/leather-oud,leather-oud,1,"75, 27","216, 53, 76, 308","205, 286, 63"
1410,https://www.olfastory.com/parfum/31-rue-cambon,31-rue-cambon,2,173,37,"313, 55"
1411,https://www.olfastory.com/parfum/black-orchid-0,black-orchid-0,0,"19, 12","173, 25, 211, 49, 44","114, 32, 2, 53, 62, 75"
1412,https://www.olfastory.com/parfum/bel-respiro,bel-respiro,2,"166, 17, 215","301, 60, 37",63
1413,https://www.olfastory.com/parfum/angelique-noire,angelique-noire,2,"211, 98, 66","43, 209","98, 2, 23"
1414,https://www.olfastory.com/parfum/hypnotic-poison,hypnotic-poison,0,"123, 61","43, 44","117, 2, 9, 53, 3, 4, 23"
1415,https://www.olfastory.com/parfum/armani-code,armani-code,1,"28, 19, 36, 272, 148","228, 267","31, 2, 162, 9, 92, 4, 23"
1416,https://www.olfastory.com/parfum/oud-ispahan,oud-ispahan,2,7,"32, 53, 76, 23","205, 78"
1417,https://www.olfastory.com/parfum/beige,beige,0,"25, 7","43, 253, 188","15, 9, 258"
1418,https://www.olfastory.com/parfum/eau-de-lingerie,eau-de-lingerie,0,37,"7, 84, 55, 258","2, 9, 53"
1419,https://www.olfastory.com/parfum/jersey,jersey,2,28,"43, 7","2, 9, 4"
1420,https://www.olfastory.com/parfum/cacharel-pour-lhomme,cacharel-pour-lhomme,1,"30, 28, 51, 19","35, 199, 25, 116","23, 204, 14, 3"
1421,https://www.olfastory.com/parfum/diva,diva,0,"83, 19, 203","7, 25, 44","201, 15"
1422,https://www.olfastory.com/parfum/idylle-0,idylle-0,0,19,"7, 43, 116, 11, 24, 118, 56","32, 9"
1423,https://www.olfastory.com/parfum/mon-parfum,mon-parfum,0,19,"7, 43, 25, 203, 169, 159","32, 9"
